BATCH 138 training acc=0.906250, cost=0.428890, test acc=0.805273, cost=0.466229, disagree_f1=0.622335, neural_f1=0.937723, agree_f1=0.488294, average_f1=0.682784
BATCH 139 training acc=0.437500, cost=1.077552, test acc=0.785409, cost=0.500494, disagree_f1=0.542857, neural_f1=0.935009, agree_f1=0.485566, average_f1=0.654478
BATCH 140 training acc=0.687500, cost=0.620092, test acc=0.763941, cost=0.531149, disagree_f1=0.461791, neural_f1=0.931236, agree_f1=0.470562, average_f1=0.621196
BATCH 141 training acc=0.687500, cost=0.615672, test acc=0.763763, cost=0.532807, disagree_f1=0.502502, neural_f1=0.925694, agree_f1=0.467720, average_f1=0.631972
BATCH 142 training acc=0.625000, cost=0.691376, test acc=0.786300, cost=0.505301, disagree_f1=0.601227, neural_f1=0.927422, agree_f1=0.478774, average_f1=0.669141
BATCH 143 training acc=0.656250, cost=0.650066, test acc=0.799038, cost=0.502350, disagree_f1=0.667522, neural_f1=0.924590, agree_f1=0.480505, average_f1=0.690872
BATCH 144 training acc=0.750000, cost=0.563364, test acc=0.801532, cost=0.512217, disagree_f1=0.700946, neural_f1=0.920166, agree_f1=0.460261, average_f1=0.693791
BATCH 145 training acc=0.562500, cost=0.856599, test acc=0.808124, cost=0.514161, disagree_f1=0.726126, neural_f1=0.919070, agree_f1=0.448768, average_f1=0.697988
BATCH 146 training acc=0.750000, cost=0.650681, test acc=0.800018, cost=0.532204, disagree_f1=0.721288, neural_f1=0.912623, agree_f1=0.428666, average_f1=0.687526
BATCH 147 training acc=0.718750, cost=0.717615, test acc=0.798414, cost=0.535591, disagree_f1=0.717821, neural_f1=0.912075, agree_f1=0.425957, average_f1=0.685284
BATCH 148 training acc=0.750000, cost=0.546948, test acc=0.802067, cost=0.529703, disagree_f1=0.718033, neural_f1=0.916745, agree_f1=0.432626, average_f1=0.689135
BATCH 149 training acc=0.812500, cost=0.542004, test acc=0.796633, cost=0.537187, disagree_f1=0.704550, neural_f1=0.915237, agree_f1=0.443767, average_f1=0.687851
BATCH 150 training acc=0.656250, cost=0.646565, test acc=0.782558, cost=0.555191, disagree_f1=0.671556, neural_f1=0.910146, agree_f1=0.451078, average_f1=0.677593
BATCH 151 training acc=0.593750, cost=0.700564, test acc=0.778372, cost=0.559253, disagree_f1=0.654462, neural_f1=0.911737, agree_f1=0.453312, average_f1=0.673171
