Using GPU: 0...
X_train.shape=(33444, 2, 64), y_train.shape=(33444,);
X_test.shape=(11226, 2, 64), y_test.shape=(11226,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9516045739579491
model.bilstm.bilstm.weight_ih_l0
model.bilstm.bilstm.weight_hh_l0
model.bilstm.bilstm.bias_ih_l0
model.bilstm.bilstm.bias_hh_l0
model.bilstm.bilstm.weight_ih_l0_reverse
model.bilstm.bilstm.weight_hh_l0_reverse
model.bilstm.bilstm.bias_ih_l0_reverse
model.bilstm.bilstm.bias_hh_l0_reverse
model.quote_attention_Wy.weight
model.quote_attention_Wh.weight
model.quote_attention_Wa.weight
model.response_attention_Wy.weight
model.response_attention_Wh.weight
model.response_attention_Wa.weight
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 125 training acc=0.750000, cost=0.624956, test acc=0.825583, cost=0.443672, disagree_f1=0.667252, neural_f1=0.942402, agree_f1=0.515727, average_f1=0.708461
BATCH 126 training acc=0.687500, cost=0.599287, test acc=0.838411, cost=0.428523, disagree_f1=0.703913, neural_f1=0.944351, agree_f1=0.512640, average_f1=0.720301
BATCH 127 training acc=0.687500, cost=0.622286, test acc=0.839123, cost=0.428670, disagree_f1=0.701562, neural_f1=0.943677, agree_f1=0.515000, average_f1=0.720080
BATCH 128 training acc=0.656250, cost=0.834099, test acc=0.834937, cost=0.437083, disagree_f1=0.687109, neural_f1=0.942207, agree_f1=0.514803, average_f1=0.714706
BATCH 129 training acc=0.750000, cost=0.497832, test acc=0.831552, cost=0.444164, disagree_f1=0.674460, neural_f1=0.941263, agree_f1=0.516763, average_f1=0.710828
BATCH 130 training acc=0.718750, cost=0.591973, test acc=0.826118, cost=0.456674, disagree_f1=0.654413, neural_f1=0.941903, agree_f1=0.517362, average_f1=0.704559
BATCH 131 training acc=0.812500, cost=0.520243, test acc=0.831017, cost=0.457496, disagree_f1=0.675920, neural_f1=0.942286, agree_f1=0.521540, average_f1=0.713249
BATCH 132 training acc=0.656250, cost=0.623936, test acc=0.824871, cost=0.468069, disagree_f1=0.655398, neural_f1=0.942322, agree_f1=0.519529, average_f1=0.705750
BATCH 133 training acc=0.750000, cost=0.561599, test acc=0.828790, cost=0.467953, disagree_f1=0.677286, neural_f1=0.942336, agree_f1=0.520392, average_f1=0.713338
BATCH 134 training acc=0.750000, cost=0.564129, test acc=0.832086, cost=0.467771, disagree_f1=0.700208, neural_f1=0.941346, agree_f1=0.514682, average_f1=0.718745
BATCH 135 training acc=0.843750, cost=0.560720, test acc=0.833333, cost=0.473305, disagree_f1=0.716283, neural_f1=0.939546, agree_f1=0.503140, average_f1=0.719656
BATCH 136 training acc=0.812500, cost=0.488741, test acc=0.832977, cost=0.478697, disagree_f1=0.727713, neural_f1=0.935087, agree_f1=0.499630, average_f1=0.720810
